parcel_number,address,status_long,latitude,longitude,status_short
025 071600700,1534 29TH AVE,Level 2 - Missing slope,37.78034215,-122.2274074,Incomplete Evaluation
020 018000400,239 FOOTHILL BLVD,Done - Level 1,37.79860037,-122.2540957,Level 1
008 063000900,1525 LAKESIDE DR,Incomplete Evaluation,37.80264328,-122.2623539,Incomplete Evaluation
022 031000100,601 BROOKLYN AVE,Exempt - engineer's letter,37.80453186,-122.2490629,Exempt
002 002300100,675 11TH ST,Incomplete Evaluation,37.80437019,-122.2782701,Incomplete Evaluation
023 046700500,633 ALMA AVE,Done - Level 1 ,37.80475966,-122.2387718,Level 1
036 241601400,2225 48TH AVE,Incomplete Evaluation - Unclaimed,37.77675046,-122.2050537,Incomplete Evaluation
013 110900100,287 MATHER ST,Done - Level 2 Required  ,37.83155484,-122.2530697,Level 2
040A341000900,7709 NEY AVE,Incomplete Evaluation - Unclaimed,37.76751622,-122.1680376,Incomplete Evaluation
011 084100900,833 YORK ST,Incomplete Evaluation,37.81333139,-122.2435279,Incomplete Evaluation
008 062602800,1530 HARRISON ST,Incomplete Evaluation,37.80426293,-122.2663157,Incomplete Evaluation
005 038600300,1729 FILBERT ST,Incomplete Evaluation,37.81149094,-122.2822715,Incomplete Evaluation
023 039503902,3210 PARK BLVD,Incomplete Evaluation,37.80296775,-122.2358922,Incomplete Evaluation
012 097403600,3769 RUBY ST,Ask for exemption - did not review ,37.82630222,-122.262561,Exempt
023 041802800,589 MERRITT AVE,Done - Level 2 Required  ,37.80799967,-122.2460965,Level 2
010 079501100,265 VERNON ST,Exempt - no large openings,37.81438814,-122.2583932,Exempt
022 030802200,1914 LAKESHORE AVE,Exempt - no large openings,37.80272265,-122.2534192,Exempt
032 203210400,3105 HIGH ST,Incomplete Evaluation,37.78521457,-122.200227,Incomplete Evaluation
021 022501100,1820 LAKESHORE AVE,Exempt - less than 5 units,37.80095344,-122.2539332,Exempt
030 189802000,3660 35TH AVE,Incomplete Evaluation - Unclaimed,37.79418732,-122.1992756,Incomplete Evaluation
010 077701501,400 PERKINS ST,Exempt - engineer's letter,37.81038382,-122.2551309,Exempt
026 077001800,3050 DAVIS ST,Done - Level 1,37.79006874,-122.2204837,Level 1
021 023300601,1811 8TH AVE,Done - Level 1,37.79659348,-122.2475259,Level 1
022 030201000,2210 10TH AVE,Incomplete Evaluation,37.79734132,-122.2417511,Incomplete Evaluation
025 071202800,1508 27TH AVE,Incomplete Evaluation,37.78154811,-122.2302217,Incomplete Evaluation
008 066500400,2341 VALLEY ST,Incomplete Evaluation,37.81332364,-122.2677536,Incomplete Evaluation
021 022802301,201 ATHOL AVE,Done - Level 1,37.80097623,-122.2515407,Level 1
010 083303301,733 JEAN ST,Done - Level 2 Required,37.81871005,-122.2457159,Level 2
010 080102200,231 29TH ST,Incomplete Evaluation - Unclaimed,37.81640532,-122.2596229,Incomplete Evaluation
040 340400600,2767 79TH AVE,Incomplete Evaluation,37.7652374,-122.1680606,Incomplete Evaluation
022 030501500,2208 CARROLL ST,Done - Level 2 Required  ,37.80052697,-122.2453954,Level 2
040A345702101,8036 GREENRIDGE DR,Incomplete Evaluation,37.772665,-122.1537155,Incomplete Evaluation
022 034002800,2424 7TH AVE,Done - Level 1,37.80112345,-122.2423779,Level 1
033 211700402,1929 33RD AVE,Exempt - no large openings,37.78297,-122.221944,Exempt
025 071801401,1479 FRUITVALE AVE,Incomplete Evaluation,37.77875015,-122.2258385,Incomplete Evaluation
039 330301001,6909 FRESNO ST,Incomplete Evaluation,37.76602242,-122.1816287,Incomplete Evaluation
020 019000100,901 E 17TH ST,Incomplete Evaluation,37.79451234,-122.2476877,Incomplete Evaluation
010 078505102,270 EUCLID AVE,Exempt - engineer's letter,37.81515199,-122.2530576,Exempt
010 078700600,365 WARWICK AVE,Done - Level 1,37.81391198,-122.2535637,Level 1
020 013201700,1432 3RD AVE - Bldg #1444,Level 2 - Missing slope,37.797411,-122.254703,Incomplete Evaluation
010 078504900,276 EUCLID AVE,Done - Level 1,37.81472291,-122.2527943,Level 1
030 193306800,3810 MAYBELLE AVE,Done - Level 1,37.78999542,-122.1926884,Level 1
040A341001000,7717 NEY AVE,Exempt - less than 5 units,37.76742949,-122.1679081,Exempt
010 083403300,592 JEAN ST,Incomplete Evaluation,37.81749021,-122.2477108,Incomplete Evaluation
038 319600102,6311 FOOTHILL BLVD,Done - Level 1,37.77058956,-122.1852436,Level 1
022 037600800,3203 14TH AVE,Level 2 - Missing slope,37.79973389,-122.2286641,Incomplete Evaluation
012 100403700,4180 OPAL ST,Incomplete Evaluation,37.83054466,-122.2578601,Incomplete Evaluation
022 033903401,2820 PARK BLVD,Exempt - engineer's letter,37.80247106,-122.2391228,Exempt
012 093803300,3775 LEIGHTON ST,Incomplete Evaluation - Unclaimed,37.82318845,-122.2557387,Incomplete Evaluation
037A275200104,3571 66TH AVE,Done - Level 2 Required  ,37.77446865,-122.1755636,Level 2
010 077301201,296 LENOX AVE,Done - Level 1,37.8115092,-122.2571905,Level 1
010 083000100,748 OAKLAND AVE,Incomplete Evaluation,37.82098487,-122.248473,Incomplete Evaluation
020 018401000,336 FOOTHILL BLVD,Exempt - less than 5 units,37.79824231,-122.2529932,Exempt
023 041901803,556 BODEN WAY,Done - Level 2 Required  ,37.80775628,-122.2478299,Level 2
037A274601604,6400 MACARTHUR BLVD,Incomplete Evaluation,37.77405851,-122.179361,Incomplete Evaluation
010 077403300,276 LEE ST,Done - Level 1,37.81265775,-122.2567144,Level 1
025 072201100,1661 FRUITVALE AVE,Done - Level 1,37.7809757,-122.2244685,Level 1
008 062701201,1505 JACKSON ST,Exempt - city inspection,37.80327472,-122.2648283,Exempt
037A275509002,6656 LAIRD AVE,Incomplete Evaluation - Unclaimed,37.77330583,-122.1749486,Incomplete Evaluation
008 062601000,1519 ALICE ST,Exempt - city inspection,37.80431919,-122.2656978,Exempt
012 093200400,635 EL DORADO AVE,Incomplete Evaluation,37.82237162,-122.2517917,Incomplete Evaluation
012 097701200,3873 SHAFTER AVE,Done - Level 1,37.82730139,-122.2603959,Level 1
012 098902500,96 LINDA AVE,Exempt - engineer's letter,37.82560718,-122.2482239,Exempt
010 078200100,362 PERKINS ST,Level 2 - Missing slope,37.81153606,-122.2547919,Incomplete Evaluation
010 082707400,508 VALLE VISTA AVE,Done - Level 2 Required ,37.81443185,-122.2469083,Level 2
010 083002601,612 MARIPOSA AVE,Exempt - engineer's letter,37.81976017,-122.249689,Exempt
027 087001600,3149 BROOKDALE AVE,Done - Level 1,37.79093321,-122.2137961,Level 1
027 085501700,2926 BROOKDALE AVE,Incomplete Evaluation,37.79272603,-122.2160619,Incomplete Evaluation
024 054700100,4423 EDGEWOOD AVE,Done - Level 2 Required  ,37.8093098,-122.2203044,Level 2
022 030800100,2064 LAKESHORE AVE,Exempt - less than 5 units,37.80405374,-122.2512095,Exempt
010 078901601,270 PERKINS ST,Done - Level 2 Required ,37.81419162,-122.2549433,Level 2
022 033900501,2657 IVY DR,Incomplete Evaluation - Unclaimed,37.80206647,-122.2395664,Incomplete Evaluation
021 027300100,1940 7TH AVE,Done - Level 2 Required  ,37.79790424,-122.2465706,Level 2
021 022602600,270 WAYNE AVE,Ask for exemption - did not review  ,37.80233453,-122.2528942,Exempt
022 031301900,334 PORTLAND AVE,Incomplete Evaluation - Unclaimed,37.80225167,-122.2460795,Incomplete Evaluation
006 000903300,1235 PERALTA ST,Exempt - city inspection,37.8107157,-122.2948513,Exempt
038 323706000,2016 57TH AVE,Incomplete Evaluation,37.7690339,-122.1965441,Incomplete Evaluation
015 135603100,5815 M L KING JR WAY,Incomplete Evaluation,37.8438364,-122.27088,Incomplete Evaluation
032 208201900,4230 CARRINGTON ST,Incomplete Evaluation - Unclaimed,37.77707631,-122.2097039,Incomplete Evaluation
020 013400600,544 INTERNATIONAL BLVD,Incomplete Evaluation,37.79544759,-122.2529508,Incomplete Evaluation
010 077301400,286 LENOX AVE,Done - Level 1,37.81186568,-122.2574295,Level 1
027 085302300,2937 BROOKDALE AVE,Level 2 - Missing slope,37.79211165,-122.216311,Incomplete Evaluation
023 042000100,590 MERRITT AVE,Exempt - engineer's letter,37.80766809,-122.2460844,Exempt
022 030802100,1918 LAKESHORE AVE,Incomplete Evaluation - Unclaimed,37.80286764,-122.2532879,Incomplete Evaluation
045 525601803,10778 PIPPIN ST,Incomplete Evaluation,37.73308094,-122.1734,Incomplete Evaluation
029 098901602,3535 COOLIDGE AVE,Done - Level 2 in process,37.79913619,-122.2084861,Level 2
023 047100501,580 CAPELL ST,Exempt - no large openings,37.80384146,-122.2399993,Exempt
039 329801502,6868 FOOTHILL BLVD,Incomplete Evaluation,37.76996966,-122.1766427,Incomplete Evaluation
010 081701900,36 MOSS AVE,Done - Level 1,37.81939457,-122.2514535,Level 1
021 023601300,1846 10TH AVE,Level 2 - Missing slope,37.79502736,-122.2451191,Incomplete Evaluation
029 099001800,3604 LAGUNA AVE,Incomplete Evaluation,37.800142,-122.209308,Incomplete Evaluation
021 022700800,346 HANOVER AVE,Done - Level 1,37.80258097,-122.2504402,Level 1
033 213003800,1428 35TH AVE,Incomplete Evaluation,37.77662253,-122.2222033,Incomplete Evaluation
014 125602700,5311 MILES AVE,Incomplete Evaluation,37.84057131,-122.2574891,Incomplete Evaluation
035 238900500,5452 BANCROFT AVE,Incomplete Evaluation,37.77203162,-122.1990545,Incomplete Evaluation
030 193301700,3720 MAYBELLE AVE,Incomplete Evaluation,37.78965066,-122.1932602,Incomplete Evaluation
012 093000800,3900 HARRISON ST,Exempt - engineer's letter,37.82139786,-122.2502335,Exempt
022 034004101,700 E 24TH ST,Incomplete Evaluation,37.80086139,-122.2425474,Incomplete Evaluation
011 084200700,859 WARFIELD AVE,Done - Level 1,37.81411097,-122.2438659,Level 1
013 113522200 ,288 WHITMORE ST,Done - Level 2 Required  ,37.833631,-122.252033,Level 2
027 087703400,3400 SALISBURY ST,Done - Level 1,37.78652645,-122.2172766,Level 1
033 212000800,1643 34TH AVE,Exempt - less than 5 units,37.78051411,-122.2222041,Exempt
010 080102100,237 29TH ST,Incomplete Evaluation,37.81649858,-122.2597727,Incomplete Evaluation
021 023101900,1848 5TH AVE,Ask for exemption - did not review  ,37.79866559,-122.2492732,Exempt
030 190701700,3700 MACARTHUR BLVD,Done - Level 2 Required  ,37.79244124,-122.1990615,Level 2
046 548000804,9031 HILLSIDE ST,Done - Level 1,37.75401639,-122.1631303,Level 1
010 081500600,601 OAKLAND AVE,Exempt - engineer's letter,37.8206661,-122.2514604,Exempt
032 205808800,4077 ALLENDALE AVE,Level 1 - missing data ,37.78411855,-122.2039282,Level 1
038 322301002,5645 BANCROFT AVE,Done - Level 1,37.77113577,-122.1948348,Level 1
010 081502100,3830 HARRISON ST,Level 2 - Missing slope,37.82115288,-122.251064,Incomplete Evaluation
010 079001501,381 ADAMS ST,Incomplete Evaluation,37.81533298,-122.2547463,Incomplete Evaluation
033 212102900,1536 FRUITVALE AVE,Incomplete Evaluation - no data,37.77935515,-122.2245124,Incomplete Evaluation
048C720000147,381 SOMERSET RD,Exempt - less than 5 units,37.81968002,-122.2092806,Exempt
012 098500900,3873 HOWE ST,Incomplete Evaluation,37.82598165,-122.2552048,Incomplete Evaluation
009 073103300,3401 RICHMOND BLVD,Done - Level 1,37.82101481,-122.2585299,Level 1
048F735400601,6225 ANTIOCH ST,Level 1 - missing data ,37.82627348,-122.2084343,Level 1
010 079600400,335 ADAMS ST,Exempt - no large openings,37.81458816,-122.2560623,Exempt
027 085801300,2936 SCHYLER ST,Exempt - no large openings,37.79472605,-122.2143576,Exempt
008 062901400,1514 JACKSON ST,Exempt - engineer's letter,37.80317195,-122.2640514,Exempt
010 076902502,80 VERNON ST,Incomplete Evaluation,37.81271688,-122.2592545,Incomplete Evaluation
021 022702401,351 LESTER AVE,Ask for exemption - did not review,37.80228975,-122.2499089,Exempt
033 213804200,1544 38TH AVE,Exempt - no large openings,37.77609381,-122.2185531,Exempt
009 068301800,498 25TH ST,Incomplete Evaluation,37.81474659,-122.2679195,Incomplete Evaluation
010 082901300,505 CHETWOOD ST,Incomplete Evaluation - Unclaimed,37.81735827,-122.2500446,Incomplete Evaluation
009 073902000,886 34TH ST,Done - Level 1,37.82476853,-122.2747623,Level 1
011 085301100,1045 WALKER AVE,Incomplete Evaluation - Unclaimed,37.8169643,-122.2444172,Incomplete Evaluation
021 022703302,301 LESTER AVE,Done - Level 2 Required  ,37.80185023,-122.2512448,Level 2
015 135301900,5918 GENOA ST,Level 1 - missing data ,37.84445543,-122.2724092,Level 1
039 328001101,6506 FOOTHILL BLVD,Incomplete Evaluation - Unclaimed,37.77078481,-122.182823,Incomplete Evaluation
029A130100400,3645 DIMOND AVE,Done - Level 1,37.80309088,-122.2168795,Level 1
033 211700402,1923 33RD AVE,Exempt - no large openings,37.782935,-122.221961,Exempt
010 083501000,3733 GRAND AVE,Done - Level 1,37.81703873,-122.2457693,Level 1
012 099701301,4105 MONTGOMERY ST,Exempt - no large openings,37.82785768,-122.2537625,Exempt
032 205701400,2817 HIGH ST,Incomplete Evaluation,37.78392456,-122.2024227,Incomplete Evaluation
027 086305200,3256 NICOL AVE,Incomplete Evaluation - Unclaimed,37.79158583,-122.2115967,Incomplete Evaluation
021 022600500,261 LESTER AVE,Exempt - no large openings,37.80227856,-122.2522774,Exempt
008 062901500,1520 JACKSON ST,Incomplete Evaluation,37.80337635,-122.2639273,Incomplete Evaluation
010 077500901,433 PERKINS ST,Done - Level 1,37.80974361,-122.2561198,Level 1
010 083108202,670 VERNON ST,Incomplete Evaluation - Unclaimed,37.81977046,-122.2479291,Incomplete Evaluation
013 111602100,4328 HOWE ST,Done - Level 1,37.82980226,-122.2490366,Level 1
023 039502700,927 BAYVIEW AVE,Incomplete Evaluation,37.80202814,-122.2378274,Incomplete Evaluation
030 191200902,3633 PATTERSON AVE,Incomplete Evaluation - Unclaimed,37.79173347,-122.197696,Incomplete Evaluation
008 062600900,1529 ALICE ST,Incomplete Evaluation,37.804509,-122.2655794,Incomplete Evaluation
032 206302700,2656 38TH AVE,Done - Level 1,37.78585505,-122.2060022,Level 1
010 078902100,380 ADAMS ST,Incomplete Evaluation - Unclaimed,37.81486681,-122.25448,Incomplete Evaluation
030 192004512,3773 39TH AVE,Incomplete Evaluation,37.79167711,-122.1948894,Incomplete Evaluation
025 072201300,1621 FRUITVALE AVE,Exempt - engineer's letter,37.78032803,-122.2248335,Exempt
027 085303400,3010 BONA ST,Done - Level 2 Required  ,37.79224181,-122.217608,Level 2
014 122001502,5301+5315 TELEGRAPH AVE,Done - Level 1,37.838425,-122.262162,Level 1
020 018601400,512 FOOTHILL BLVD,Incomplete Evaluation,37.79703788,-122.2515868,Incomplete Evaluation
016 142100200,6635 DANA ST,Incomplete Evaluation,37.85274749,-122.2585648,Incomplete Evaluation
020 018901300,818 FOOTHILL BLVD,Exempt - less than 5 units,37.79473758,-122.2488692,Exempt
030 192502800,3806 39TH AVE,Done - Level 1,37.79152557,-122.1938077,Level 1
032 208702702,1908 38TH AVE,Done - Level 1,37.77907814,-122.2161147,Level 1
022 033900200,2809 8TH AVE,Incomplete Evaluation - Unclaimed,37.80220998,-122.2390733,Incomplete Evaluation
028 090602901,2425 MACARTHUR BLVD,Done - Level 2 Required  ,37.79943616,-122.2136402,Level 2
011 083901200,3501 LAKESHORE AVE,Incomplete Evaluation - Unclaimed,37.81203117,-122.2425685,Incomplete Evaluation
008 062900800,1555 MADISON ST,Done - Level 1,37.80340957,-122.2633282,Level 1
032 206903201,4060 LYON AVE,Level 2 - Missing slope,37.78237718,-122.2063251,Incomplete Evaluation
029A130203200,3556 DIMOND AVE,Level 2 - Missing slope,37.80168376,-122.2164931,Incomplete Evaluation
029A130101400,3541 DIMOND AVE,Incomplete Evaluation,37.80161915,-122.2173334,Incomplete Evaluation
010 077800900,439 BELLEVUE AVE,Exempt - no large openings,37.80927003,-122.2529962,Exempt
046 544600400,1838 92ND AVE,Incomplete Evaluation,37.75083837,-122.1684701,Incomplete Evaluation
020 017801303,428 E 15TH ST,Incomplete Evaluation,37.7969182,-122.253006,Incomplete Evaluation
023 041200600,2122 LAKESHORE AVE,Exempt - engineer's letter,37.80461117,-122.2504097,Exempt
038 324200502,5847 TRASK ST,Done - Level 1,37.77004193,-122.1930037,Level 1
010 080800900,407 FAIRMOUNT AVE,Done - Level 1,37.81939626,-122.2566932,Level 1
035 236205400,1620 50TH AVE,Incomplete Evaluation,37.77134911,-122.2069984,Incomplete Evaluation
045 525601802,10786 PIPPIN ST,Incomplete Evaluation,37.73295913,-122.1732603,Incomplete Evaluation
021 023300400,1843 8TH AVE,Done - Level 1,37.79682927,-122.2471997,Level 1
021 023501602,1836 9TH AVE,Done - Level 1,37.79567854,-122.24613,Level 1
022 030801900,321 WAYNE AVE,Incomplete Evaluation,37.80309462,-122.2531878,Incomplete Evaluation
010 077300900,307 LEE ST,Level 2 - Missing slope,37.81146311,-122.256633,Incomplete Evaluation
021 027401100,1932 6TH AVE,Incomplete Evaluation - Unclaimed,37.79853084,-122.2475263,Incomplete Evaluation
010 081402100,550 FAIRMOUNT AVE,Incomplete Evaluation,37.8215912,-122.2541908,Incomplete Evaluation
010 081500902,561 OAKLAND AVE,Incomplete Evaluation,37.82032634,-122.2522627,Incomplete Evaluation
027 084203202,2500 FRUITVALE AVE,Done - Level 1,37.78768512,-122.2209197,Level 1
011 083700101,768 WALKER AVE,Incomplete Evaluation,37.81331079,-122.2453392,Incomplete Evaluation
040 337802202,7911 BANCROFT AVE,Incomplete Evaluation,37.76169399,-122.1727342,Incomplete Evaluation
013 115001902,4770 TELEGRAPH AVE,Exempt - less than 5 units,37.83449813,-122.2626722,Exempt
008 063000300,123 17TH ST,Incomplete Evaluation,37.80375348,-122.2618781,Incomplete Evaluation
033 213405000,1568 36TH AVE,Incomplete Evaluation,37.77816316,-122.2202735,Incomplete Evaluation
027 089603702,2429 HUMBOLDT AVE,Done - Level 1,37.78879465,-122.2136508,Level 1
032 205809800,2701 HIGH ST,Done - Level 1,37.78345027,-122.2033888,Level 1
032 208402203,2022 36TH AVE,Done - Level 2 Required  ,37.78211692,-122.2161774,Level 2
012 097201300,3875 RUBY ST,Done - Level 1,37.82764415,-122.2626757,Level 1
013 113406300,4466 VIEW PL,Done - Level 1,37.83269668,-122.2485958,Level 1
022 030501800,2215 CARROLL ST,Incomplete Evaluation - Unclaimed,37.8009374,-122.2456012,Incomplete Evaluation
010 076600603,491 STATEN AVE,Incomplete Evaluation - Unclaimed,37.80806009,-122.2541525,Incomplete Evaluation
016 140702100,6009 CLAREMONT AVE,Done - Level 1,37.84753911,-122.2540291,Level 1
011 085103200,970 VERMONT ST,Incomplete Evaluation - Unclaimed,37.8161411,-122.2427556,Incomplete Evaluation
021 026900602,1925 10TH AVE,Done - Level 1,37.79583746,-122.244948,Level 1
021 023601200,1830 10TH AVE,Done - Level 1,37.79488057,-122.2452088,Level 1
012 094504001,441 W MACARTHUR BLVD,Level 1 - missing data,37.82539421,-122.2633577,Level 1
041 420301402,1079 81ST AVE,Incomplete Evaluation,37.75385001,-122.1846878,Incomplete Evaluation
010 077701801,375 VAN BUREN AVE,Exempt - engineer's letter,37.81032828,-122.2543477,Exempt
020 015000400,2117 E 15TH ST,Incomplete Evaluation - no data,37.78556338,-122.2379846,Incomplete Evaluation
029 097704300,2930 MACARTHUR BLVD,Incomplete Evaluation,37.7981171,-122.2060186,Incomplete Evaluation
005 041001800,914 18TH ST,Incomplete Evaluation,37.81151264,-122.2803209,Incomplete Evaluation
025 072601800,3014 E 19TH ST,Incomplete Evaluation,37.78341017,-122.224101,Incomplete Evaluation
040A342003600,7916 NEY AVE,Exempt - engineer's letter ,37.76593672,-122.1651171,Exempt
022 030500401,609 E 23RD ST,Incomplete Evaluation,37.80048555,-122.2446527,Incomplete Evaluation
010 079505101,230 ORANGE ST,Done - Level 1,37.81536608,-122.2570891,Level 1
022 034102100,2624 8TH AVE,Incomplete Evaluation,37.80122196,-122.2396308,Incomplete Evaluation
030 192501000,3670 39TH AVE,Ask for exemption - did not review ,37.79008911,-122.1955397,Exempt
040A341103600,7716 NEY AVE,Incomplete Evaluation - Unclaimed,37.76782854,-122.1672732,Incomplete Evaluation
023 046300300,817 MACARTHUR BLVD,Incomplete Evaluation,37.80649291,-122.2404989,Incomplete Evaluation
012 099601600,4021 HOWE ST,Incomplete Evaluation - Unclaimed,37.82686587,-122.2539229,Incomplete Evaluation
010 079404600,360 OAKLAND AVE,Done - Level 2 Required  ,37.81682298,-122.256252,Level 2
005 038402103,1725 MARKET ST,Incomplete Evaluation,37.81053531,-122.2805082,Incomplete Evaluation
045 518702201,1357 104TH AVE,Done - Level 1,37.73966023,-122.16805,Level 1
021 026800600,920 E 20TH ST,Incomplete Evaluation,37.79667507,-122.2444352,Incomplete Evaluation
027 084101600,2434 FRUITVALE AVE,Incomplete Evaluation,37.78733758,-122.2208962,Incomplete Evaluation
023 041700101,490 CAPITAL ST,Done - Level 1,37.80657122,-122.2472969,Level 1
021 022600601,267 LESTER AVE,Incomplete Evaluation - Unclaimed,37.80210975,-122.2522048,Incomplete Evaluation
021 026500800,1931 12TH AVE,Done - Level 1,37.79449065,-122.2431166,Level 1
011 084202000,848 VERMONT ST,Incomplete Evaluation,37.81418792,-122.2442405,Incomplete Evaluation
012 099600500,237 41ST ST,Exempt - retrofitted,37.82764857,-122.2548789,Exempt
010 078502900,380 EUCLID AVE,Level 2 - Missing slope,37.81180122,-122.2515014,Incomplete Evaluation
006 001702601,720 WILLOW ST,Incomplete Evaluation,37.80686445,-122.3003238,Incomplete Evaluation
012 098702400,81 GLEN AVE,Done - Level 1,37.82548209,-122.2503374,Level 1
010 078200201,355 STATEN AVE,Done - Level 2 Required,37.81176924,-122.2544478,Level 2
010 077500500,415 PERKINS ST,Done - Level 1,37.81019262,-122.2559038,Level 1
012 094502101,484 37TH ST,Incomplete Evaluation,37.82540677,-122.2645188,Incomplete Evaluation
020 017400100,803 FOOTHILL BLVD,Incomplete Evaluation - Unclaimed,37.7945802,-122.2494795,Incomplete Evaluation
010 078503101,372 EUCLID AVE,Exempt - no large openings,37.81200852,-122.2515931,Exempt
025 073100600,1723 28TH AVE,Level 2 - Missing slope,37.7828857,-122.227671,Incomplete Evaluation
014 126204600,5471 TAFT AVE,Done - Level 1,37.84168014,-122.2512235,Level 1
021 022403001,210 ATHOL AVE,Done - Level 1,37.80058955,-122.252149,Level 1
012 092900500,287 MONTE VISTA AVE,Done - Level 1,37.82270614,-122.2504361,Level 1
011 084201400,486 MANDANA BLVD,Done - Level 1 ,37.81348345,-122.2446705,Level 1
040A341001400,7801 NEY AVE,Done - Level 2 Required  ,37.76705549,-122.16738,Level 2
022 034202005,2525 10TH AVE,Level 2 - Missing slope,37.7997198,-122.2395195,Incomplete Evaluation
025 071300800,1507 28TH AVE,Done - Level 1,37.78100552,-122.2293492,Level 1
008 062501500,1734 WEBSTER ST,Incomplete Evaluation,37.8060984,-122.2666438,Incomplete Evaluation
046 542800500,9833 WALNUT ST,Incomplete Evaluation,37.7447087,-122.1682137,Incomplete Evaluation
010 079101901,361 VERNON ST,Level 2 - Missing slope,37.81591955,-122.2554936,Incomplete Evaluation
025 072600100,2833 FOOTHILL BLVD,Done - Level 1,37.78402871,-122.2247186,Level 1
010 079501301,87 VERNON ST Bldg #3,Done - Level 1,37.813887,-122.259335,Level 1
027 085701000,3121 CUTHBERT AVE,Incomplete Evaluation,37.79349519,-122.2152014,Incomplete Evaluation
010 077500401,407 PERKINS ST,Done - Level 1,37.81038503,-122.2558112,Level 1
032 203000300,3020 35TH AVE - East bldg,Done - Level 1,37.79018248,-122.2060174,Level 1
021 027700500,1927 5TH AVE,Done - Level 2 Required  ,37.79961868,-122.2489149,Level 2
027 086902300,3334 BROOKDALE AVE,Done - Level 1,37.79052785,-122.2112776,Level 1
044 498402901,9332 E ST,Level 1 - missing data ,37.74453152,-122.1784825,Level 1
022 030201100,2220 10TH AVE,Done - Level 1,37.79746966,-122.2415707,Level 1
040A345705700,4355 RILEA WAY,Incomplete Evaluation,37.77236366,-122.1508881,Incomplete Evaluation
027 086002000,3014 FRUITVALE AVE,Incomplete Evaluation,37.79470116,-122.2179973,Incomplete Evaluation
007 056000101,1611 17TH STREET,Incomplete Evaluation,37.81319718,-122.2928499,Incomplete Evaluation
022 033800200,2519 7TH AVE,Done - Level 2 Required  ,37.80193739,-122.242138,Level 2
010 077800400,415 BELLEVUE AVE,Incomplete Evaluation,37.80995309,-122.2529087,Incomplete Evaluation
010 078102601,411 MACARTHUR BLVD,Incomplete Evaluation - Unclaimed,37.81081348,-122.2501061,Incomplete Evaluation
016 139103700,481 ALCATRAZ AVE,Done - Level 1,37.85003833,-122.2598808,Level 1
010 077402400,312 LEE ST,Incomplete Evaluation,37.81136126,-122.2559573,Incomplete Evaluation
023 048103001,1248 E 34TH ST,Incomplete Evaluation,37.80247299,-122.2329556,Incomplete Evaluation
021 028400300,1017 E 22ND ST,Done - Level 1,37.79683759,-122.2421999,Level 1
010 078503900,350 EUCLID AVE,Incomplete Evaluation,37.81310983,-122.2520805,Incomplete Evaluation
021 022601800,216 WAYNE AVE,Exempt - engineer's letter,37.80151668,-122.2523743,Exempt
010 081500304,641 OAKLAND AVE,Done - Level 1,37.82093171,-122.250656,Level 1
011 083803700,750 RAND AVE,Exempt - no large openings,37.8113307,-122.2442333,Exempt
008 067604400,541 SYCAMORE ST,Exempt - city inspection,37.8150391,-122.2693609,Exempt
021 022701300,364 HANOVER AVE,Exempt - no large openings,37.80270366,-122.2496238,Exempt
009 070302400,3001 RICHMOND BLVD,Level 1 - missing data ,37.81851393,-122.2606294,Level 1
029 099200201,2453 DAMUTH ST Bldg #1,Done - Level 1,37.80076356,-122.2113122,Level 1
020 013000400,1437 2ND AVE,Exempt - less than 5 units,37.79856272,-122.2558805,Exempt
010 077500600,421 PERKINS ST,Done - Level 1 ,37.81006433,-122.2559655,Level 1
010 078300601,369 BELLEVUE AVE,Exempt - engineer's letter,37.81190498,-122.2533909,Exempt
026 076801600,3060 LOGAN ST,Done - Level 1,37.78797759,-122.2213959,Level 1
010 078702500,362 JAYNE AVE,Level 1 - missing data,37.81377072,-122.2545589,Level 1
033 213901400,1600 39TH AVE,Done - Level 1,37.77573523,-122.2174668,Level 1
010 080102000,241 29TH ST,Done - Level 1,37.81658672,-122.2599142,Level 1
032 206901900,4000 LYON AVE,Done - Level 1,37.78322759,-122.2072755,Level 1
023 040301500,1142 MCKINLEY AVE,Incomplete Evaluation - Unclaimed,37.80335309,-122.2386055,Incomplete Evaluation
022 037101700,3112 14TH AVE,Done - Level 1,37.79908938,-122.2287247,Level 1
014 125600504,5428 CLAREMONT AVE,Ask for exemption - did not review ,37.84154595,-122.2581005,Exempt
030 189801900,3650 35TH AVE,Incomplete Evaluation - Unclaimed,37.79411614,-122.1993976,Incomplete Evaluation
030 193301200,3830 MAYBELLE AVE,Done - Level 1,37.79023039,-122.1924511,Level 1
010 082703900,438 ELWOOD AVE,Incomplete Evaluation,37.81467818,-122.2474442,Incomplete Evaluation
010 078600101,305 EUCLID AVE,Incomplete Evaluation,37.81361447,-122.2530204,Incomplete Evaluation
010 080801201,385 FAIRMOUNT AVE,Done - Level 1,37.81890811,-122.2575119,Level 1
010 079008900,360 VERNON ST,Done - Level 1,37.81576536,-122.254664,Level 1
022 033801200,2311 IVY DR,Done - Level 2 Required  ,37.80127136,-122.2441694,Level 2
010 077300300,265 LEE ST,Exempt - retrofitted,37.81238921,-122.2573612,Exempt
010 078500601,273 MACARTHUR BLVD,Done - Level 1,37.81497864,-122.2522838,Level 1
